model,feature,data_type,units,description,allowable,user_input_guidance
ResStock,in.water_heater_efficiency,string,n/a,"Efficiency, type, and heating fuel of water heater","Electric Heat Pump, 50 gal, 3.45 UEF|Electric Premium|Electric Standard|Electric Tankless|FIXME Fuel Oil Indirect|Fuel Oil Premium|Fuel Oil Standard|Natural Gas Premium|Natural Gas Standard|Natural Gas Tankless|Other Fuel|Propane Premium|Propane Standard|Propane Tankless",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.utility_bill_natural_gas_fixed_charges,string,$/month,"Natural gas utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list",,Numeric: provide value in units from TSV; use NaN/blank to trigger missing handling.
ResStock,in.duct_location,string,n/a,Location of Duct System,Attic|Crawlspace|Garage|Heated Basement|Living Space|None|Unheated Basement,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.hvac_cooling_partial_space_conditioning,string,n/a,The fraction of the finished floor area that the cooling system provides cooling for,100% Conditioned|20% Conditioned|40% Conditioned|60% Conditioned|80% Conditioned|<10% Conditioned|None,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.misc_gas_grill,string,n/a,Presence of gas grill,Gas Grill|None,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.simulation_control_run_period_end_month,integer,n/a,"The end month number (1 = January, 2 = February, etc.) for the annual run period",12,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.insulation_slab,string,n/a,Slab insulation level,"2ft R10 Perimeter, Vertical|2ft R10 Under, Horizontal|2ft R5 Perimeter, Vertical|2ft R5 Under, Horizontal|None|Uninsulated",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.lighting_interior_use,string,n/a,Interior lighting usage relative to the national average,100% Usage,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.vacancy_status,string,n/a,Presence of occupants,Occupied|Vacant,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.insulation_ceiling,string,n/a,Ceiling insulation level (between the living space and unconditioned attic),None|R-13|R-19|R-30|R-38|R-49|R-7|Uninsulated,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.electric_vehicle,string,n/a,Electric vehicle usage and efficiency (not modeled in 2024.2 dataset),None,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,out.params.floor_area_attic_ft_2,float,sqft,Floor area of attic,n/a,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.federal_poverty_level,string,n/a,Federal poverty level of the household occupying the dwelling unit,0-100%|100-150%|150-200%|200-300%|300-400%|400%+|Not Available,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.area_median_income,string,n/a,Area median income of the household occupying the dwelling unit,0-30%|100-120%|120-150%|150%+|30-60%|60-80%|80-100%|Not Available,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.hvac_secondary_heating_efficiency,string,n/a,Presence and efficiency of secondary heating system,None,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.heating_setpoint_offset_magnitude,string,F,The magnitude of heating setpoint offset,0F|12F|3F|6F,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.hvac_cooling_efficiency,string,n/a,Presence and efficiency of cooling system,"AC, SEER 10|AC, SEER 13|AC, SEER 15|AC, SEER 8|Ducted Heat Pump|Non-Ducted Heat Pump|None|Room AC, EER 10.7|Room AC, EER 12.0|Room AC, EER 8.5|Room AC, EER 9.8|Shared Cooling",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.census_region,string,n/a,2010 U.S. Census Region,Midwest|Northeast|South|West,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.utility_bill_propane_fixed_charges,string,$/month,"Propane utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list",,Numeric: provide value in units from TSV; use NaN/blank to trigger missing handling.
ResStock,in.hvac_has_ducts,boolean,n/a,Presence of ducts,No|Yes,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.insulation_wall,string,n/a,Wall construction type and insulation level,"Brick, 12-in, 3-wythe, R-11|Brick, 12-in, 3-wythe, R-15|Brick, 12-in, 3-wythe, R-19|Brick, 12-in, 3-wythe, R-7|Brick, 12-in, 3-wythe, Uninsulated|CMU, 6-in Hollow, R-11|CMU, 6-in Hollow, R-15|CMU, 6-in Hollow, R-19|CMU, 6-in Hollow, R-7|CMU, 6-in Hollow, Uninsulated|Wood Stud, R-11|Wood Stud, R-15|Wood Stud, R-19|Wood Stud, R-7|Wood Stud, Uninsulated",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.utility_bill_electricity_marginal_rates,string,$/kWh,"Electricity utility bill marginal rates. If multiple scenarios, use a comma-separated list",,Numeric: provide value in units from TSV; use NaN/blank to trigger missing handling.
ResStock,in.insulation_foundation_wall,string,n/a,Foundation walls insulation level,"None|Uninsulated|Wall R-10, Exterior|Wall R-15, Exterior|Wall R-5, Exterior",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.ahs_region,string,n/a,American Housing Survey region,"CBSA Atlanta-Sandy Springs-Roswell, GA|CBSA Boston-Cambridge-Newton, MA-NH|CBSA Chicago-Naperville-Elgin, IL-IN-WI|CBSA Dallas-Fort Worth-Arlington, TX|CBSA Detroit-Warren-Dearborn, MI|CBSA Houston-The Woodlands-Sugar Land, TX|CBSA Los Angeles-Long Beach-Anaheim, CA|CBSA Miami-Fort Lauderdale-West Palm Beach, FL|CBSA New York-Newark-Jersey City, NY-NJ-PA|CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD|CBSA Phoenix-Mesa-Scottsdale, AZ|CBSA Riverside-San Bernardino-Ontario, CA|CBSA San Francisco-Oakland-Hayward, CA|CBSA Seattle-Tacoma-Bellevue, WA|CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV|Non-CBSA East North Central|Non-CBSA East South Central|Non-CBSA Middle Atlantic|Non-CBSA Mountain|Non-CBSA New England|Non-CBSA Pacific|Non-CBSA South Atlantic|Non-CBSA West North Central|Non-CBSA West South Central",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.emissions_electricity_folders,string,n/a,"Relative paths of electricity emissions factor schedule files with hourly values. Paths are relative to the resources folder. If multiple scenarios, use a comma-separated list. File names must contain GEA region names","data/cambium/2022/LRMER_LowRECost_15,data/cambium/2022/LRMER_MidCase_15,data/cambium/2022/LRMER_HighRECost_15,data/cambium/2022/LRMER_MidCase_25",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.emissions_scenario_names,string,n/a,"Names of emissions scenarios. If multiple scenarios, use a comma-separated list","LRMER_LowRECost_15,LRMER_MidCase_15,LRMER_HighRECost_15,LRMER_MidCase_25",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.geometry_building_type_height,string,ft,"RECS 2009 building type with multifamily buildings split out by low-rise, mid-rise, and high-rise","Mobile Home|Multifamily with 2-4 Units|Multifamily with 5+ units, 1-3 stories|Multifamily with 5+ units, 4-7 stories|Multifamily with 5+ units, 8+ stories|Single-Family Attached|Single-Family Detached",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.range_spot_vent_hour,string,n/a,Range spot ventilation daily start hour,Hour0|Hour1|Hour10|Hour11|Hour12|Hour13|Hour14|Hour15|Hour16|Hour17|Hour18|Hour19|Hour2|Hour20|Hour21|Hour22|Hour23|Hour3|Hour4|Hour5|Hour6|Hour7|Hour8|Hour9,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.neighbors,string,ft,Presence and distance between the dwelling unit and the nearest neighbors to the left and right.,12|2|27|4|7|Left/Right at 15ft|None,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.cec_climate_zone,string,n/a,California Energy Code climate zone,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9|None,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.clothes_washer_presence,string,n/a,Presence of clothes washer,None|Yes,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.vintage_acs,string,n/a,Range in which the building was constructed using ACS bins,1940-59|1960-79|1980-99|2000-09|2010s|<1940,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.geometry_building_level_mf,string,n/a,"Location of the multifamily unit vertically within the building (bottom, middle, top)",Bottom|Middle|None|Top,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.insulation_floor,string,n/a,Floor insulation level,Ceiling R-13|Ceiling R-19|Ceiling R-30|None|Uninsulated,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.hvac_has_zonal_electric_heating,boolean,n/a,Presence of electric baseboard heating,No|Yes,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.occupants,string,n/a,The number of occupants living in the dwelling unit,0|1|10+|2|3|4|5|6|7|8|9,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.bathroom_spot_vent_hour,string,n/a,Bathroom spot ventilation daily start hour,Hour0|Hour1|Hour10|Hour11|Hour12|Hour13|Hour14|Hour15|Hour16|Hour17|Hour18|Hour19|Hour2|Hour20|Hour21|Hour22|Hour23|Hour3|Hour4|Hour5|Hour6|Hour7|Hour8|Hour9,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,out.params.flow_rate_mechanical_ventilation_cfm,float,cfm,Flow rate of the mechanical ventilation,n/a,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,out.params.floor_area_attic_insulation_increase_ft_2_delta_r_value,float,sqft*delta R-value,Floor area of attic multiple by the increased R-value of attic insulation from the upgrade,n/a,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.emissions_fossil_fuel_units,string,n/a,"Fossil fuel emissions factors units. If multiple scenarios, use a comma-separated list. Only lb/MBtu and kg/MBtu are allowed","lb/MBtu,lb/MBtu,lb/MBtu,lb/MBtu",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.doors,string,n/a,Exterior door material and properties,Fiberglass,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.cooling_setpoint_has_offset,boolean,n/a,Presence of cooling setpoint offset,No|Yes,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.emissions_electricity_values_or_filepaths,string,n/a,"Electricity emissions factors values, specified as either an annual factor or an absolute/relative path to a file with hourly factors. If multiple scenarios, use a comma-separated list","/lib/resources/data/cambium/2022/LRMER_LowRECost_15/AZNMc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/AZNMc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/AZNMc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/AZNMc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/CAMXc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/CAMXc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/CAMXc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/CAMXc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/ERCTc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/ERCTc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/ERCTc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/ERCTc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/FRCCc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/FRCCc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/FRCCc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/FRCCc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/MROEc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/MROEc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/MROEc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/MROEc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/MROWc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/MROWc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/MROWc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/MROWc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/NEWEc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/NEWEc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/NEWEc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/NEWEc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/NWPPc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/NWPPc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/NWPPc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/NWPPc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/NYSTc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/NYSTc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/NYSTc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/NYSTc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/RFCEc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/RFCEc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/RFCEc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/RFCEc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/RFCMc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/RFCMc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/RFCMc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/RFCMc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/RFCWc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/RFCWc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/RFCWc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/RFCWc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/RMPAc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/RMPAc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/RMPAc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/RMPAc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/SPNOc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/SPNOc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/SPNOc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/SPNOc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/SPSOc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/SPSOc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/SPSOc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/SPSOc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/SRMVc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/SRMVc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/SRMVc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/SRMVc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/SRMWc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/SRMWc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/SRMWc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/SRMWc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/SRSOc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/SRSOc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/SRSOc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/SRSOc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/SRTVc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/SRTVc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/SRTVc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/SRTVc.csv|/lib/resources/data/cambium/2022/LRMER_LowRECost_15/SRVCc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_15/SRVCc.csv,/lib/resources/data/cambium/2022/LRMER_HighRECost_15/SRVCc.csv,/lib/resources/data/cambium/2022/LRMER_MidCase_25/SRVCc.csv",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.iso_rto_region,string,n/a,ISO or RTO region,CAISO|ERCOT|MISO|NEISO|NYISO|None|PJM|SPP,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
